"ACCESSION_NUMBER","SUBMISSION_TYPE","FILING_DATE","CIK","FILE_NUMBER","PERIOD","ISAMENDMENT","PROGRESSUPDATE","NATUREOFAMENDMENT","NAMEOFISSUER","LEGALSTATUSFORM","LEGALSTATUSOTHERDESC","JURISDICTIONORGANIZATION","DATEINCORPORATION","STREET1","STREET2","CITY","STATEORCOUNTRY","ZIPCODE","ISSUERWEBSITE","COMPANYNAME","COMMISSIONCIK","COMMISSIONFILENUMBER","CRDNUMBER"
"0000732935-21-000001","C",20210121,732935,"020-27489",NA,0,"","","Here To Serve Holding Corp","Corporation","","DE","1983-09-22","1111 ALDERMAN DRIVE, SUITE 210","","ALPHARETTA","GA","30005","www.heretoserve.tech","truCrowd, Inc",1667145,"007-00015",283063
"0000897069-21-000320","C",20210707,1798341,"020-28350",NA,0,"","","Amplio.ai, Inc.","Corporation","","DE","2018-04-25","43877 PARAMOUNT PL.","","CHANTILLY","VA","20152","www.amplio.ai","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001017386-21-000407","C",20210920,723533,"020-28796",NA,0,"","","Longwen Group Corp.","Corporation","","NV","2005-11-17","7325 Oswego Road","","Liverpool","NY","13090","www.nationalprobrands.com","truCrowd",1667145,"007-00015",283063
"0001017386-21-000417","C",20210924,1663038,"020-28815",NA,0,"","","Reliant Service Inc","Corporation","","NV","2015-03-20","15826 111th Ave","","Edmonton, Alberta Canada","CA","T5M-2R8","www.homelandtransport.co","truCrowd",1667145,"007-00015",283063
"0001017386-21-000420","C",20210924,717588,"020-28817",NA,0,"","","China Solar & Clean Energy Solutions, Inc.","Corporation","","NV","1983-03-21","2 Valley View Drive","","Avon","NY","14414","www.csol.pro","truCrowd",1667145,"007-00015",283063
"0001017386-21-000429","C",20210927,1377469,"020-28828",NA,0,"","","PEGASUS TEL, INC.","Corporation","","DE","2002-02-19","Bloemendaalseweg, 69","","Bloemendaalseweg, Netherlands","P7","2061","pegasus-tel.com","truCrowd",1667145,"007-00015",283063
"0001017386-22-000427","C",20220923,1377469,"020-30965",NA,0,"","","PEGASUS TEL, INC.","Corporation","","DE","2002-02-19","BLOEMENDALLSEWEG 69, 2061 CC","SUITE 707","BLOEMENDAALSEWEG, NETHERLANDS","P7","2061","pegasus-tel.com","truCrowd",1667145,"007-00015",283063
"0001017386-22-000430","C",20220923,717588,"020-30979",NA,0,"","","China Solar & Clean Energy Solutions, Inc.","Corporation","","NV","1983-03-21","2 VALLEY VIEW DRIVE","SUITE 2000","AVON","NY","14414","www.csol.pro","truCrowd",1667145,"007-00015",283063
"0001031744-22-000002","C",20220601,1031744,"020-30270",NA,0,"","","WORLD WIRELESS COMMUNICATIONS INC","Corporation","","NV","1995-11-15","5670 GREENWOOD PLAZA BLVD","SUITE 340","ENGLEWOOD","CO","80111","www.wwrlmerger.com","truCrowd, Inc",1667145,"007-00015",283063
"0001036148-21-000003","C",20211202,1036148,"020-29300",NA,0,"","","NW Tech Capital, Inc.","Corporation","","NV","1996-06-13","375 N STEPHANIE ST","STE 1411","HENDERSON","NV","89014","https://www.nwtechcapital.us/investor","truCrowd, Inc",1667145,"007-00015",283063
"0001062993-16-011751","C",20161017,1683543,"020-23030",NA,0,"","","Mardi Gras A Musical, LLC","Limited Liability Company",NA,"MA","2016-07-20","88 HOLTEN STREET","","DANVERS","MA","01923","Issuer has no website - crowdfunding portal is http://openingnightcapital.com/","OPENING NIGHT CAPITAL, LLC",1554727,"008-69132",165034
"0001062993-21-003416","C",20210405,1847124,"020-27893",NA,0,"","","Arlene, Inc.","Corporation","","DE","2017-01-23","2808 Concordia Drive","","Erie","PA","16506","https://arlene.io/","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001062993-21-003569","C",20210412,1811447,"020-27928",NA,0,"","","FT1 Inc.","Corporation","","NY","2019-07-24","2009 DECKER AVE","","MERRICK","NY","11566","https://fundthefirst.com/","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001062993-21-003673","C",20210416,1650200,"020-27950",NA,0,"","","ALPHAFLOW INC.","Corporation","","DE","2015-05-19","2269 CHESTNUT STREET","#267","SAN FRANCISCO","CA","94123","http://www.alphaflow.com/","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001062993-21-003690","C",20210416,1848230,"020-27951",NA,0,"","","Season Three Inc.","Corporation","","DE","2018-04-23","649 MORGAN AVENUE","1R2","BROOKLYN","NY","11222","https://www.seasonthree.com","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001079973-22-000882","C",20220725,1937536,"020-30574",NA,0,"","","Paladin Power Inc.","Corporation","","NV","2022-04-21","27689 State Hwy 74","","Perris","CA","92570","www.paladinpower.com","Equifund Crowd Funding Portal Inc.",1705665,"007-00115",288900
"0001080368-21-000027","C",20210723,1873910,"020-28442",NA,0,"","","Vernafund CF LLC","Limited Liability Company","","DE","2021-06-14","3767 ROCKDALE DR.","","DALLAS","TX","75220","https://theapartmentqueen.investnext.com/portal/capital_raise/435/","MiTec, PBC",1690300,"007-00133",292759
"0001091818-21-000126","C",20210927,1089104,"020-28835",NA,0,"","","QUEST OIL CORP","Corporation","","WY","2021-04-22","19 Baldwin Path","","Deer Park","NY","11729","www.questoil.net","truCrowd, Inc",1667145,"007-00015",283063
"0001091818-22-000138","C",20220923,1089104,"020-30975",NA,0,"","","QUEST OIL CORP","Corporation","","WY","2021-04-22","19 BALDWIN PATH","BLDG. #12, SUITE #100","DEER PARK","NY","11729","www.questoil.net","truCrowd, Inc",1667145,"007-00015",283063
"0001096906-21-000148","C",20210127,1823386,"020-27525",NA,0,"","","DeRosa Capital 11, LLC","Limited Liability Company","","NC","2020-07-10","354 S. BROAD ST.","","TRENTON","NJ","08608","https://www.derosagroup.com/","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001096906-21-001338","C",20210604,1817193,"020-28198",NA,0,"","","Merati Homes, LLC","Corporation","","UT","2019-01-19","30 W 60TH STREET 10H","","NEW YORK CITY","NY","10023","www.meratihomes.com","Fundme.com, Inc.",1683485,"007-00078",NA
"0001096906-22-000287","C",20220209,1735613,"020-29671",NA,0,"","","QUANTM.ONE INC","Corporation","","DE","2017-12-18","5 UPPER NEWPORT PLAZA","","NEWPORT BEACH","CA","92660","www.quantmre.com","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001096906-22-001011","C",20220502,1925263,"020-30102",NA,0,"","","VUE Corp.","Corporation","","DE","2019-04-10","810 7TH STREET NE","","WASHINGTON D.C.","DC","20002","www.vuexo.com","ENTORO SECURITIES, LLC",914873,"008-46630",35192
"0001096906-22-002052","C",20220830,1873910,"020-30831",NA,0,"","","Vernafund CF LLC","Limited Liability Company","","DE","2021-06-14","16192 COASTAL HWY","","LEWES","DE","19958","theapartmentqueen.com","Silicon Prairie Online LLC",1711770,"007-00123",289746
"0001096906-22-002138","C",20220906,1937970,"020-30859",NA,0,"","","ITerum Energy Co","Corporation","","NV","2011-05-23","1400 SOUTH STREET","SUITE 500","LAS VEGAS","NV","89101","https://www.iterumenergy.com","CASTLE PLACEMENT, LLC",1638202,"008-69612",189511
"0001099910-22-000018","C",20220121,1905610,"020-29565",NA,0,"","","Navarrete Hospitality Group","Limited Liability Company","","TX","2021-05-21","3003 Memorial Ct. #1343","","Houston,","TX","77007","www.nhgrestaurants.com","Silicon Prairie Online LLC",1711770,"007-00123",289746
"0001104659-19-055034","C",20191021,1674163,"020-25759",NA,0,"","","Legion M Entertainment, Inc.","Corporation","","DE","2016-03-04","1801 CENTURY PARK EAST 24TH FLOOR","","LOS ANGELES","CA","90067","http://www.legionm.com","Wefunder Portal LLC",1670254,"007-00033",283503
"0001104659-19-070041","C",20191205,1661779,"020-25905",NA,0,"","","STARTENGINE CROWDFUNDING, INC.","Corporation","","DE","2014-03-19","8687 MELROSE AVE","7TH FLOOR (GREEN BUILDING)","WEST HOLLYWOOD","CA","90069","www.startengine.com","truCrowd",1667145,"007-00015",283063
"0001104659-20-032595","C",20200312,1661779,"020-26229",NA,0,"","","STARTENGINE CROWDFUNDING, INC.","Corporation","","DE","2014-03-19","8687 MELROSE AVE","7TH FLOOR (GREEN BUILDING)","WEST HOLLYWOOD","CA","90069","www.startengine.com","truCrowd",1667145,"007-00015",283063
"0001104659-20-054505","C",20200430,1661779,"020-26359",NA,0,"","","STARTENGINE CROWDFUNDING, INC.","Corporation","","DE","2014-03-19","8687 MELROSE AVE","7TH FLOOR (GREEN BUILDING)","WEST HOLLYWOOD","CA","90069","www.startengine.com","truCrowd",1667145,"007-00015",283063
"0001104659-20-090333","C",20200804,1674163,"020-26740",NA,0,"","","Legion M Entertainment, Inc.","Corporation","","DE","2016-03-04","1801 CENTURY PARK EAST 24TH FLOOR","","LOS ANGELES","CA","90067","http://www.legionm.com","Wefunder Portal LLC",1670254,"007-00033",283503
"0001104659-20-098409","C",20200825,1651239,"020-26816",NA,0,"","","Quadrant Biosciences Inc","Corporation","","DE","2015-03-13","505 IRVING AVENUE","SUITE 3100 A-B","SYRACUSE","NY","13210","https://www.quadrantbiosciences.com","Wefunder Portal LLC",1670254,"007-00033",283503
"0001104659-21-006448","C",20210122,1833532,"020-27495",NA,0,"","","Uroshape, LLC","Limited Liability Company","","FL","2010-01-20","767 Indian River Dr","","Melbourne","FL","32935","https://www.solatherapy.com","DALMORE GROUP LLC",1332099,"008-67002",136352
"0001104659-21-085566","C",20210625,1805018,"020-28304",NA,0,"","","Elemeno Health, Inc.","Corporation","","DE","2016-01-29","2910 Ford Street","","Oakland","CA","94601","https://www.elemenohealth.com","StartEngine Capital LLC",1665160,"007-00007",NA
"0001104659-22-079911","C",20220714,1769759,"020-30520",NA,0,"","","MONOGRAM ORTHOPAEDICS INC","Corporation","","DE","2016-04-21","3913 Todd Lane, Suite 307","","Austin","TX","78744","www.monogramorthopedics.com","DEALMAKER SECURITIES LLC",1872856,"008-70756",315324
"0001139685-17-000001","C",20171013,1139685,"020-23669",NA,0,"","","20/20 GeneSystems, Inc.","Corporation","","DE","2000-09-28","9430 Key West Ave.","","Rockville","MD","20850","www.2020gene.com","First Democracy VC",1683054,"007-00076",285360
"0001140361-21-005213","C",20210217,1836842,"020-27639",NA,0,"","","ATHR Beauty Co","Corporation","","DE","2019-02-25","299 South Main Street","Suite 1300","Salt Lake City","UT","84111","https://aetherbeautyco.com","OpenDeal Portal LLC",1751525,"007-00167",283874
"0001144204-16-134497","C",20161115,1689582,"020-23064",NA,0,"","","StarringClaraBow, Inc.","Corporation",NA,"WY","2016-08-23","1712 Pioneer Avenue","Suite 1609","Cheyenne","WY","82001","www.starringclarabow.com","StartEngine Capital LLC",1665160,"007-00007",NA
"0001144204-16-135022","C",20161116,1450158,"020-23080",NA,0,"","","WORTHPOINT Corp","Corporation",NA,"DE","2007-01-16","5 Concourse Pkwy","Suite 2850","ATLANTA","GA","30328","www.worthpoint.com","NORTH CAPITAL PRIVATE SECURITIES CORPORATION",1496269,"008-68648",154559
"0001144204-19-040347","C",20190816,1741141,"020-25569",NA,0,"","","Blue World Voyages LLC","Limited Liability Company","","FL","2016-04-28","142 Sans Souci Drive","","Coral Gables","FL","33133","https://www.blueworldvoyages.com/","OpenDeal Portal LLC",1751525,"007-00167",283874
